Sr. No.,Journal title,ISSN,eISSN,Publisher name
1,JOURNAL OF THE ACM,0004-5411,1557-735X,ASSOC COMPUTING MACHINERY
2,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,ASSOC COMPUTING MACHINERY
3,COMPUTER STANDARDS & INTERFACES,0920-5489,1872-7018,ELSEVIER
4,ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,ASSOC COMPUTING MACHINERY
5,IEEE COMPUTER GRAPHICS AND APPLICATIONS,0272-1716,1558-1756,IEEE COMPUTER SOC
6,SOFT COMPUTING,1432-7643,1433-7479,SPRINGER
7,MACHINE VISION AND APPLICATIONS,0932-8092,1432-1769,SPRINGER
8,GEOINFORMATICA,1384-6175,1573-7624,SPRINGER
9,JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,2352-2208,2352-2216,ELSEVIER SCIENCE INC
10,PERVASIVE AND MOBILE COMPUTING,1574-1192,1873-1589,ELSEVIER
11,COMPUTERS IN INDUSTRY,0166-3615,1872-6194,ELSEVIER
12,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,1567-4223,1873-7846,ELSEVIER
13,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,1556-4681,1556-472X,ASSOC COMPUTING MACHINERY
14,ACM TRANSACTIONS ON APPLIED PERCEPTION,1544-3558,1544-3965,ASSOC COMPUTING MACHINERY
15,ENTERTAINMENT COMPUTING,1875-9521,1875-953X,ELSEVIER SCI LTD
16,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1093-9687,1467-8667,WILEY
17,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,0146-4833,1943-5819,ASSOC COMPUTING MACHINERY
18,IEEE INTERNET OF THINGS JOURNAL,2327-4662,2327-4662,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
19,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,1000-9000,1860-4749,SPRINGER SINGAPORE PTE LTD
20,ADVANCES IN ENGINEERING SOFTWARE,0965-9978,1873-5339,ELSEVIER SCI LTD
21,IEEE TRANSACTIONS ON INFORMATION THEORY,0018-9448,1557-9654,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
22,FORMAL METHODS IN SYSTEM DESIGN,0925-9856,1572-8102,SPRINGER
23,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,1949-3045,1949-3045,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
24,APPLIED SOFT COMPUTING,1568-4946,1872-9681,ELSEVIER
25,SCIENCE OF COMPUTER PROGRAMMING,0167-6423,1872-7964,ELSEVIER
26,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,1532-0626,1532-0634,WILEY
27,SOFTWARE AND SYSTEMS MODELING,1619-1366,1619-1374,SPRINGER HEIDELBERG
28,JOURNAL OF VISUALIZATION,1343-8875,1875-8975,SPRINGER
29,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,1061-3773,1099-0542,WILEY
30,COMPUTING IN SCIENCE & ENGINEERING,1521-9615,1558-366X,IEEE COMPUTER SOC
31,JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,1319-1578,2213-1248,ELSEVIER
32,IEEE TRANSACTIONS ON SUSTAINABLE COMPUTING,2377-3782,2377-3782,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
33,IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1941-0042,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
34,IEEE TRANSACTIONS ON COMPUTERS,0018-9340,1557-9956,IEEE COMPUTER SOC
35,DATA & KNOWLEDGE ENGINEERING,0169-023X,1872-6933,ELSEVIER
36,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,2168-2291,2168-2305,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
37,APPLIED INTELLIGENCE,0924-669X,1573-7497,SPRINGER
38,EXPERT SYSTEMS,0266-4720,1468-0394,WILEY
39,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
40,IEEE INTERNET COMPUTING,1089-7801,1941-0131,IEEE COMPUTER SOC
41,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,0963-8687,1873-1198,ELSEVIER
42,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1077-2626,1941-0506,IEEE COMPUTER SOC
